[14, 23, 25, 19, 7, 21]
[25, 17, 2, 3, 13, 19]
[16, 21, 7, 8, 19, 36]
[30, 5, 11, 9, 23, 8]
[20, 28, 13, 4, 9, 21]
[20, 26, 14, 21, 29, 22]
[16, 7, 30, 22, 26, 18]
[18, 34, 31, 32, 30, 35]
[28, 15, 31, 7, 23, 6]
[15, 13, 32, 5, 22, 11]
[23, 12, 22, 34, 16, 18]
[19, 36, 22, 7, 28, 15]
[34, 21, 5, 7, 1, 11]
[17, 34, 23, 25, 26, 1]
[21, 15, 36, 1, 20, 18]
[14, 21, 30, 7, 27, 4]
[17, 26, 14, 1, 4, 5]
[26, 17, 5, 4, 6, 27]
[22, 28, 36, 19, 17, 21]
[11, 14, 30, 21, 4, 9]
[20, 13, 17, 11, 1, 31]
[9, 35, 17, 10, 24, 32]
[22, 21, 24, 25, 35, 19]
[30, 2, 15, 32, 22, 18]
[14, 26, 6, 7, 35, 24]
[31, 21, 9, 16, 23, 24]
[10, 36, 3, 33, 2, 16]
[20, 34, 7, 37, 26, 33]
[13, 25, 17, 9, 14, 21]
[33, 9, 18, 34, 14, 17]
[10, 16, 20, 29, 26, 19]
[8, 12, 4, 22, 34, 23]
[15, 32, 16, 2, 30, 8]
[18, 15, 28, 10, 20, 23]
[17, 33, 14, 13, 29, 22]
[2, 29, 8, 18, 7, 20]
[6, 16, 1, 3, 29, 4]
[7, 20, 9, 3, 24, 2]
[6, 19, 36, 4, 37, 15]
[36, 2, 9, 7, 27, 18]
[37, 5, 14, 31, 35, 12]
[20, 4, 31, 34, 25, 26]
[5, 11, 24, 36, 23, 20]
[17, 36, 9, 1, 31, 14]
[15, 36, 18, 22, 1, 17]
[26, 8, 20, 31, 5, 33]
[27, 12, 30, 6, 21, 32]
[26, 36, 37, 5, 3, 2]
[29, 17, 5, 26, 37, 15]
[15, 5, 23, 4, 6, 18]
[30, 28, 1, 33, 17, 36]
[24, 32, 5, 28, 4, 16]
[11, 8, 35, 15, 37, 10]
[18, 13, 26, 32, 34, 22]
[29, 8, 12, 15, 10, 4]
[17, 33, 27, 29, 20, 15]
[31, 21, 33, 36, 3, 34]
[6, 30, 33, 10, 3, 31]
[18, 1, 33, 27, 20, 3]
[20, 4, 35, 13, 17, 21]
[37, 14, 2, 31, 29, 34]
[18, 24, 37, 12, 17, 21]
[6, 32, 13, 31, 16, 26]
[5, 31, 16, 6, 8, 11]
[25, 35, 23, 21, 30, 24]
[14, 16, 21, 6, 10, 4]
[3, 20, 31, 22, 32, 19]
[7, 29, 27, 25, 5, 24]
[21, 27, 32, 7, 22, 1]
[30, 15, 27, 17, 10, 6]
[10, 3, 24, 18, 8, 37]
[2, 12, 30, 11, 31, 4]
[30, 24, 15, 18, 28, 20]
[12, 3, 22, 30, 34, 24]
[31, 6, 30, 18, 15, 29]
[12, 26, 30, 4, 24, 15]
[26, 5, 25, 28, 9, 4]
[2, 35, 20, 13, 1, 21]
[11, 28, 21, 32, 3, 12]
[6, 8, 13, 26, 7, 27]
[26, 37, 18, 20, 13, 36]
[18, 10, 30, 35, 26, 19]
[3, 27, 13, 31, 17, 33]
[17, 24, 20, 2, 37, 26]
[17, 22, 14, 20, 5, 25]
[14, 9, 20, 4, 8, 21]
[29, 30, 35, 15, 34, 16]
[2, 36, 18, 11, 6, 22]
[28, 37, 30, 23, 7, 34]
[11, 23, 25, 1, 13, 33]
[3, 15, 20, 23, 22, 27]
[7, 13, 10, 16, 3, 2]
[15, 11, 12, 7, 31, 30]
[5, 9, 22, 35, 17, 13]
[2, 6, 11, 9, 22, 14]
[19, 7, 12, 30, 15, 14]
[1, 20, 9, 5, 3, 35]
[26, 2, 24, 4, 9, 1]
[25, 19, 5, 34, 26, 11]
[22, 17, 33, 24, 7, 26]
